sample,side,side_label,cell,gamma_regime,entry_time,exit_time,entry_px,exit_px,atr_at_entry,exit_reason,bars_held,gross_points,gross_dollars,cost_dollars,net_dollars,microprice_evaluable,microprice_fired,microprice_exit_time,microprice_exit_px,microprice_net,n_book_rows_in_window,arm3_net_dollars,arm3_exit_reason
OOS,1,LONG,LONG_short,short,2025-09-08 18:20:00+00:00,2025-09-08 18:45:00+00:00,6500.625,6500.875,3.767857142857143,time,5,0.25,12.5,17.5,7.5,True,True,2025-09-08 18:26:06+00:00,6499.375,-80.0,208451,-80.0,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-08 19:15:00+00:00,2025-09-08 19:40:00+00:00,6493.125,6496.375,3.7142857142857144,time,5,-3.25,-162.5,17.5,-167.5,True,True,2025-09-08 19:16:34+00:00,6495.875,-155.0,254674,-155.0,microprice
OOS,1,LONG,LONG_short,short,2025-09-09 13:30:00+00:00,2025-09-09 13:55:00+00:00,6507.25,6503.625,4.196428571428571,time,5,-3.625,-181.25,23.75,-186.25,True,True,2025-09-09 13:54:11+00:00,6505.375,-117.5,653580,-117.5,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-10 13:30:00+00:00,2025-09-10 13:55:00+00:00,6552.5,6548.125,2.5535714285714284,time,5,4.375,218.75,23.75,213.75,True,True,2025-09-10 13:49:21+00:00,6554.875,-142.5,1078888,-142.5,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-10 19:30:00+00:00,2025-09-10 19:40:00+00:00,6524.875,6534.75,4.821428571428571,stop,2,-9.875,-493.75,23.75,-498.75,True,True,2025-09-10 19:31:47+00:00,6527.375,-148.75,155962,-148.75,microprice
OOS,1,LONG,LONG_long,long,2025-09-11 17:15:00+00:00,2025-09-11 17:40:00+00:00,6590.375,6589.625,2.8214285714285716,time,5,-0.75,-37.5,17.5,-42.5,True,True,2025-09-11 17:19:13+00:00,6587.875,-142.5,217302,-142.5,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-11 17:50:00+00:00,2025-09-11 18:15:00+00:00,6588.375,6590.625,3.1607142857142856,time,5,-2.25,-112.5,17.5,-117.5,True,True,2025-09-11 17:55:38+00:00,6589.625,-80.0,231358,-80.0,microprice
OOS,1,LONG,LONG_long,long,2025-09-11 18:45:00+00:00,2025-09-11 19:10:00+00:00,6591.375,6590.875,2.875,time,5,-0.5,-25.0,17.5,-30.0,True,False,,,,208881,-30.0,time
OOS,1,LONG,LONG_long,long,2025-09-12 16:50:00+00:00,2025-09-12 17:15:00+00:00,6593.625,6594.625,2.6607142857142856,time,5,1.0,50.0,17.5,45.0,True,True,2025-09-12 17:04:14+00:00,6592.125,-92.5,150151,-92.5,microprice
OOS,1,LONG,LONG_long,long,2025-09-12 17:25:00+00:00,2025-09-12 17:50:00+00:00,6596.375,6596.625,2.267857142857143,time,5,0.25,12.5,17.5,7.5,True,True,2025-09-12 17:27:05+00:00,6595.125,-80.0,130133,-80.0,microprice
OOS,1,LONG,LONG_long,long,2025-09-12 18:10:00+00:00,2025-09-12 18:35:00+00:00,6597.625,6600.875,2.017857142857143,time,5,3.25,162.5,17.5,157.5,True,False,,,,134046,157.5,time
OOS,1,LONG,LONG_long,long,2025-09-12 18:55:00+00:00,2025-09-12 19:10:00+00:00,6604.125,6599.125,2.392857142857143,stop,3,-5.0,-250.0,17.5,-255.0,True,True,2025-09-12 18:58:50+00:00,6602.125,-117.5,88747,-117.5,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-15 13:30:00+00:00,2025-09-15 13:50:00+00:00,6608.0,6617.875,4.821428571428571,stop,4,-9.875,-493.75,23.75,-498.75,True,True,2025-09-15 13:31:00+00:00,6670.375,-3142.5,495944,-3142.5,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-15 17:00:00+00:00,2025-09-15 17:25:00+00:00,6613.625,6611.875,2.5535714285714284,time,5,1.75,87.5,17.5,82.5,True,True,2025-09-15 17:01:00+00:00,6670.875,-2880.0,235212,-2880.0,microprice
OOS,1,LONG,LONG_long,long,2025-09-15 17:40:00+00:00,2025-09-15 18:05:00+00:00,6614.875,6617.875,3.017857142857143,time,5,3.0,150.0,17.5,145.0,True,False,,,,193619,145.0,time
OOS,-1,SHORT,SHORT_long,long,2025-09-15 18:10:00+00:00,2025-09-15 18:35:00+00:00,6614.125,6613.125,3.1607142857142856,time,5,1.0,50.0,17.5,45.0,True,True,2025-09-15 18:11:00+00:00,6672.375,-2930.0,194399,-2930.0,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-15 18:45:00+00:00,2025-09-15 19:10:00+00:00,6608.125,6612.125,3.25,time,5,-4.0,-200.0,17.5,-205.0,True,True,2025-09-15 18:46:00+00:00,6665.375,-2880.0,231146,-2880.0,microprice
OOS,1,LONG,LONG_long,long,2025-09-15 19:30:00+00:00,2025-09-15 19:55:00+00:00,6613.375,6613.75,3.25,time,5,0.375,18.75,23.75,13.75,True,False,,,,318614,13.75,time
OOS,-1,SHORT,SHORT_short,short,2025-09-16 17:45:00+00:00,2025-09-16 18:10:00+00:00,6612.875,6614.875,2.6607142857142856,time,5,-2.0,-100.0,17.5,-105.0,True,True,2025-09-16 17:46:00+00:00,6670.875,-2917.5,177470,-2917.5,microprice
OOS,1,LONG,LONG_long,long,2025-09-16 18:45:00+00:00,2025-09-16 19:10:00+00:00,6616.375,6617.625,2.267857142857143,time,5,1.25,62.5,17.5,57.5,True,False,,,,176480,57.5,time
OOS,-1,SHORT,SHORT_short,short,2025-09-16 19:30:00+00:00,2025-09-16 19:45:00+00:00,6613.625,6618.25,2.1964285714285716,stop,3,-4.625,-231.25,23.75,-236.25,True,True,2025-09-16 19:31:00+00:00,6669.625,-2823.75,195495,-2823.75,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-17 13:30:00+00:00,2025-09-17 13:50:00+00:00,6611.5,6618.125,3.3035714285714284,stop,4,-6.625,-331.25,23.75,-336.25,True,True,2025-09-17 13:31:00+00:00,6673.375,-3117.5,543632,-3117.5,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-17 18:35:00+00:00,2025-09-17 19:00:00+00:00,6594.875,6588.875,12.125,time,5,6.0,300.0,17.5,295.0,True,True,2025-09-17 18:36:00+00:00,6656.875,-3117.5,1714967,-3117.5,microprice
OOS,1,LONG,LONG_long,long,2025-09-17 19:00:00+00:00,2025-09-17 19:25:00+00:00,6588.875,6613.375,20.303571428571427,time,5,24.5,1225.0,17.5,1220.0,True,False,,,,1271785,1220.0,time
OOS,1,LONG,LONG_long,long,2025-09-17 19:25:00+00:00,2025-09-17 19:50:00+00:00,6613.625,6608.0,21.803571428571427,time,5,-5.625,-281.25,23.75,-286.25,True,False,,,,1091196,-286.25,time
OOS,-1,SHORT,SHORT_short,short,2025-09-18 18:45:00+00:00,2025-09-18 18:50:00+00:00,6634.125,6642.375,4.035714285714286,stop,1,-8.25,-412.5,17.5,-417.5,True,True,2025-09-18 18:46:00+00:00,6693.875,-3005.0,51437,-3005.0,microprice
OOS,1,LONG,LONG_long,long,2025-09-18 18:55:00+00:00,2025-09-18 19:20:00+00:00,6643.625,6641.875,4.25,time,5,-1.75,-87.5,17.5,-92.5,True,False,,,,231420,-92.5,time
OOS,-1,SHORT,SHORT_short,short,2025-09-18 19:25:00+00:00,2025-09-18 19:50:00+00:00,6638.625,6632.25,3.7142857142857144,time,5,6.375,318.75,23.75,313.75,True,True,2025-09-18 19:26:00+00:00,6697.375,-2961.25,271743,-2961.25,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-22 13:30:00+00:00,2025-09-22 13:50:00+00:00,6705.75,6714.375,4.285714285714286,stop,4,-8.625,-431.25,23.75,-436.25,True,True,2025-09-22 13:31:04+00:00,6707.625,-117.5,456182,-117.5,microprice
OOS,-1,SHORT,SHORT_long,long,2025-09-22 17:55:00+00:00,2025-09-22 18:20:00+00:00,6748.625,6749.375,2.5714285714285716,time,5,-0.75,-37.5,17.5,-42.5,True,True,2025-09-22 18:17:59+00:00,6750.125,-92.5,181987,-92.5,microprice
OOS,1,LONG,LONG_long,long,2025-09-22 18:40:00+00:00,2025-09-22 19:05:00+00:00,6752.125,6752.625,2.4464285714285716,time,5,0.5,25.0,17.5,20.0,True,True,2025-09-22 18:41:28+00:00,6750.875,-80.0,140359,-80.0,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-22 19:20:00+00:00,2025-09-22 19:45:00+00:00,6754.875,6752.25,2.1607142857142856,time,5,2.625,131.25,23.75,126.25,True,True,2025-09-22 19:26:41+00:00,6756.625,-111.25,183220,-111.25,microprice
OOS,1,LONG,LONG_long,long,2025-09-23 16:50:00+00:00,2025-09-23 16:55:00+00:00,6740.375,6732.625,3.7857142857142856,stop,1,-7.75,-387.5,17.5,-392.5,True,True,2025-09-23 16:54:41+00:00,6738.375,-117.5,42391,-117.5,microprice
OOS,-1,SHORT,SHORT_short,short,2025-09-23 17:30:00+00:00,2025-09-23 17:55:00+00:00,6718.125,6711.375,4.678571428571429,time,5,6.75,337.5,17.5,332.5,True,False,,,,665046,332.5,time
OOS,1,LONG,LONG_long,long,2025-09-23 18:25:00+00:00,2025-09-23 18:50:00+00:00,6706.375,6707.375,6.017857142857143,time,5,1.0,50.0,17.5,45.0,True,False,,,,317074,45.0,time
OOS,1,LONG,LONG_long,long,2025-09-23 19:05:00+00:00,2025-09-23 19:30:00+00:00,6704.625,6706.125,4.803571428571429,time,5,1.5,75.0,17.5,70.0,True,False,,,,269747,70.0,time
