strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min
flow_burst,1,1,2026-04-30 13:05:00-04:00,7203.125,2026-04-30 13:30:00-04:00,7211.875,time,5,7192.5,7226.75,5.267857142857143,long,8.75,437.5,17.5,432.5,785
flow_burst,-1,1,2026-04-30 14:50:00-04:00,7240.125,2026-04-30 15:15:00-04:00,7246.625,time,5,7248.0,7222.5,3.892857142857143,short,-6.5,-325.0,17.5,-330.0,890
flow_burst,-1,1,2026-05-01 09:30:00-04:00,7265.0,2026-05-01 09:35:00-04:00,7276.0,stop,1,7275.75,7240.5,5.428571428571429,short,-11.0,-550.0,30.0,-555.0,570
flow_burst,-1,1,2026-05-01 14:35:00-04:00,7266.875,2026-05-01 15:00:00-04:00,7262.875,time,5,7275.0,7248.5,4.089285714285714,short,4.0,200.0,17.5,195.0,875
flow_burst,-1,1,2026-05-04 09:30:00-04:00,7249.75,2026-05-04 09:55:00-04:00,7254.125,time,5,7259.25,7228.5,4.696428571428571,short,-4.375,-218.75,23.75,-223.75,570
flow_burst,-1,1,2026-05-04 14:25:00-04:00,7225.875,2026-05-04 14:50:00-04:00,7224.125,time,5,7236.5,7202.25,5.267857142857143,short,1.75,87.5,17.5,82.5,865
flow_burst,1,1,2026-05-04 15:10:00-04:00,7228.625,2026-05-04 15:35:00-04:00,7229.375,time,5,7217.5,7253.5,5.535714285714286,short,0.75,37.5,17.5,32.5,910
flow_burst,1,1,2026-05-05 09:30:00-04:00,7267.75,2026-05-05 09:55:00-04:00,7272.125,time,5,7257.5,7290.5,5.071428571428571,short,4.375,218.75,23.75,213.75,570
flow_burst,1,1,2026-05-05 13:15:00-04:00,7282.375,2026-05-05 13:40:00-04:00,7287.125,time,5,7276.0,7296.5,3.142857142857143,long,4.75,237.5,17.5,232.5,795
flow_burst,1,1,2026-05-05 13:55:00-04:00,7290.375,2026-05-05 14:20:00-04:00,7293.875,time,5,7285.0,7302.5,2.6964285714285716,short,3.5,175.0,17.5,170.0,835
flow_burst,1,1,2026-05-05 14:50:00-04:00,7293.375,2026-05-05 15:15:00-04:00,7296.625,time,5,7288.75,7304.0,2.375,long,3.25,162.5,17.5,157.5,890
flow_burst,1,1,2026-05-05 15:30:00-04:00,7296.625,2026-05-05 15:45:00-04:00,7291.25,stop,3,7291.5,7308.25,2.607142857142857,short,-5.375,-268.75,23.75,-273.75,930
flow_burst,-1,1,2026-05-06 12:55:00-04:00,7357.625,2026-05-06 13:05:00-04:00,7365.125,stop,2,7365.0,7341.0,3.7142857142857144,short,-7.5,-375.0,17.5,-380.0,775
flow_burst,1,1,2026-05-06 14:10:00-04:00,7374.625,2026-05-06 14:35:00-04:00,7381.875,time,5,7368.25,7389.25,3.25,short,7.25,362.5,17.5,357.5,850
flow_burst,1,1,2026-05-06 15:05:00-04:00,7383.375,2026-05-06 15:30:00-04:00,7387.875,time,5,7376.75,7398.5,3.375,short,4.5,225.0,17.5,220.0,905
flow_burst,1,1,2026-05-07 15:15:00-04:00,7360.625,2026-05-07 15:40:00-04:00,7361.875,time,5,7344.75,7396.75,8.0,short,1.25,62.5,17.5,57.5,915
flow_burst,-1,1,2026-05-08 14:10:00-04:00,7420.875,2026-05-08 14:35:00-04:00,7422.875,time,5,7429.0,7402.75,4.053571428571429,short,-2.0,-100.0,17.5,-105.0,850
flow_burst,-1,1,2026-05-08 14:45:00-04:00,7418.625,2026-05-08 15:10:00-04:00,7414.875,time,5,7426.25,7401.25,3.857142857142857,short,3.75,187.5,17.5,182.5,885
flow_burst,-1,1,2026-05-08 15:30:00-04:00,7412.375,2026-05-08 15:40:00-04:00,7420.75,stop,2,7420.5,7394.25,4.053571428571429,long,-8.375,-418.75,23.75,-423.75,930
flow_burst,-1,1,2026-05-11 12:45:00-04:00,7442.375,2026-05-11 13:10:00-04:00,7440.625,time,5,7450.0,7425.5,3.75,long,1.75,87.5,17.5,82.5,765
flow_burst,-1,1,2026-05-11 13:15:00-04:00,7436.625,2026-05-11 13:25:00-04:00,7444.375,stop,2,7444.25,7419.5,3.7857142857142856,short,-7.75,-387.5,17.5,-392.5,795
flow_burst,1,1,2026-05-11 13:35:00-04:00,7447.625,2026-05-11 14:00:00-04:00,7448.375,time,5,7439.0,7467.25,4.375,short,0.75,37.5,17.5,32.5,815
flow_burst,1,1,2026-05-11 14:05:00-04:00,7452.625,2026-05-11 14:30:00-04:00,7449.375,time,5,7444.75,7470.75,4.0,short,-3.25,-162.5,17.5,-167.5,845
flow_burst,-1,1,2026-05-11 14:40:00-04:00,7444.375,2026-05-11 15:00:00-04:00,7429.25,target,4,7451.0,7429.25,3.3392857142857144,short,15.125,756.25,11.25,751.25,880
flow_burst,1,1,2026-05-12 13:05:00-04:00,7373.875,2026-05-12 13:30:00-04:00,7388.625,time,5,7360.5,7404.25,6.732142857142857,short,14.75,737.5,17.5,732.5,785
flow_burst,1,1,2026-05-12 14:25:00-04:00,7403.375,2026-05-12 14:50:00-04:00,7405.625,time,5,7391.5,7430.5,6.0,short,2.25,112.5,17.5,107.5,865
