strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min,entry_time_utc,entry_time_et,entry_date,side_label,cell
flow_burst,1,1,2026-04-30 17:05:00+00:00,7203.125,2026-04-30 13:35:00-04:00,7216.125,time,6,7192.5,7227.25,5.375,long,13.0,650.0,17.5,645.0,785,2026-04-30 17:05:00+00:00,2026-04-30 13:05:00-04:00,2026-04-30,LONG,LONG_long
flow_burst,-1,1,2026-04-30 18:50:00+00:00,7240.125,2026-04-30 15:20:00-04:00,7244.875,time,6,7248.5,7221.0,4.225,short,-4.75,-237.5,17.5,-242.5,890,2026-04-30 18:50:00+00:00,2026-04-30 14:50:00-04:00,2026-04-30,SHORT,SHORT_short
flow_burst,-1,1,2026-05-01 13:30:00+00:00,7265.0,2026-05-01 09:30:00-04:00,7274.75,stop,0,7274.5,7243.5,4.8,short,-9.75,-487.5,30.0,-492.5,570,2026-05-01 13:30:00+00:00,2026-05-01 09:30:00-04:00,2026-05-01,SHORT,SHORT_short
flow_burst,-1,1,2026-05-01 18:35:00+00:00,7266.875,2026-05-01 15:05:00-04:00,7265.375,time,6,7275.25,7248.25,4.125,short,1.5,75.0,17.5,70.0,875,2026-05-01 18:35:00+00:00,2026-05-01 14:35:00-04:00,2026-05-01,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 13:30:00+00:00,7249.75,2026-05-04 10:00:00-04:00,7256.875,time,6,7259.25,7228.75,4.6875,short,-7.125,-356.25,23.75,-361.25,570,2026-05-04 13:30:00+00:00,2026-05-04 09:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 18:30:00+00:00,7227.375,2026-05-04 15:00:00-04:00,7224.625,time,6,7238.5,7202.75,5.5,short,2.75,137.5,17.5,132.5,870,2026-05-04 18:30:00+00:00,2026-05-04 14:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,1,1,2026-05-04 19:10:00+00:00,7228.625,2026-05-04 15:40:00-04:00,7229.125,time,6,7218.25,7251.75,5.1625,short,0.5,25.0,17.5,20.0,910,2026-05-04 19:10:00+00:00,2026-05-04 15:10:00-04:00,2026-05-04,LONG,LONG_short
flow_burst,1,1,2026-05-05 13:30:00+00:00,7267.75,2026-05-05 10:00:00-04:00,7274.375,time,6,7257.25,7291.5,5.275,short,6.625,331.25,23.75,326.25,570,2026-05-05 13:30:00+00:00,2026-05-05 09:30:00-04:00,2026-05-05,LONG,LONG_short
flow_burst,1,1,2026-05-05 18:50:00+00:00,7293.375,2026-05-05 15:20:00-04:00,7298.125,time,6,7288.5,7304.75,2.5,long,4.75,237.5,17.5,232.5,890,2026-05-05 18:50:00+00:00,2026-05-05 14:50:00-04:00,2026-05-05,LONG,LONG_long
flow_burst,1,1,2026-05-05 19:30:00+00:00,7296.625,2026-05-05 15:45:00-04:00,7291.0,stop,3,7291.25,7308.75,2.675,short,-5.625,-281.25,23.75,-286.25,930,2026-05-05 19:30:00+00:00,2026-05-05 15:30:00-04:00,2026-05-05,LONG,LONG_short
flow_burst,-1,1,2026-05-06 16:55:00+00:00,7357.625,2026-05-06 13:10:00-04:00,7365.875,stop,3,7365.75,7339.0,4.1125,short,-8.25,-412.5,17.5,-417.5,775,2026-05-06 16:55:00+00:00,2026-05-06 12:55:00-04:00,2026-05-06,SHORT,SHORT_short
flow_burst,1,1,2026-05-06 18:10:00+00:00,7374.625,2026-05-06 14:40:00-04:00,7381.625,time,6,7367.5,7390.75,3.5875,short,7.0,350.0,17.5,345.0,850,2026-05-06 18:10:00+00:00,2026-05-06 14:10:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-06 19:05:00+00:00,7383.375,2026-05-06 15:35:00-04:00,7385.875,time,6,7377.0,7397.75,3.1875,short,2.5,125.0,17.5,120.0,905,2026-05-06 19:05:00+00:00,2026-05-06 15:05:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-07 19:15:00+00:00,7360.625,2026-05-07 15:45:00-04:00,7360.75,time,6,7344.0,7398.0,8.325,short,0.125,6.25,23.75,1.25,915,2026-05-07 19:15:00+00:00,2026-05-07 15:15:00-04:00,2026-05-07,LONG,LONG_short
flow_burst,-1,1,2026-05-08 18:45:00+00:00,7418.625,2026-05-08 15:15:00-04:00,7414.875,time,6,7425.75,7402.5,3.6,short,3.75,187.5,17.5,182.5,885,2026-05-08 18:45:00+00:00,2026-05-08 14:45:00-04:00,2026-05-08,SHORT,SHORT_short
flow_burst,-1,1,2026-05-08 19:30:00+00:00,7412.375,2026-05-08 15:40:00-04:00,7421.0,stop,2,7420.75,7393.25,4.225,long,-8.625,-431.25,23.75,-436.25,930,2026-05-08 19:30:00+00:00,2026-05-08 15:30:00-04:00,2026-05-08,SHORT,SHORT_long
flow_burst,-1,1,2026-05-11 18:40:00+00:00,7444.375,2026-05-11 15:00:00-04:00,7428.5,target,4,7451.5,7428.5,3.525,short,15.875,793.75,11.25,788.75,880,2026-05-11 18:40:00+00:00,2026-05-11 14:40:00-04:00,2026-05-11,SHORT,SHORT_short
flow_burst,-1,1,2026-05-11 19:00:00+00:00,7431.375,2026-05-11 15:30:00-04:00,7431.375,time,6,7439.0,7414.25,3.7875,short,-0.0,-0.0,17.5,-5.0,900,2026-05-11 19:00:00+00:00,2026-05-11 15:00:00-04:00,2026-05-11,SHORT,SHORT_short
