strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min,entry_time_utc,entry_time_et,entry_date,side_label,cell
flow_burst,1,1,2026-04-30 17:05:00+00:00,7203.125,2026-04-30 13:35:00-04:00,7216.125,time,6,7192.5,7226.75,5.267857142857143,long,13.0,650.0,17.5,645.0,785,2026-04-30 17:05:00+00:00,2026-04-30 13:05:00-04:00,2026-04-30,LONG,LONG_long
flow_burst,-1,1,2026-04-30 18:50:00+00:00,7240.125,2026-04-30 15:15:00-04:00,7248.125,stop,5,7248.0,7222.5,3.892857142857143,short,-8.0,-400.0,17.5,-405.0,890,2026-04-30 18:50:00+00:00,2026-04-30 14:50:00-04:00,2026-04-30,SHORT,SHORT_short
flow_burst,-1,1,2026-05-01 13:30:00+00:00,7265.0,2026-05-01 09:35:00-04:00,7276.0,stop,1,7275.75,7240.5,5.428571428571429,short,-11.0,-550.0,30.0,-555.0,570,2026-05-01 13:30:00+00:00,2026-05-01 09:30:00-04:00,2026-05-01,SHORT,SHORT_short
flow_burst,-1,1,2026-05-01 18:35:00+00:00,7266.875,2026-05-01 15:05:00-04:00,7265.375,time,6,7275.0,7248.5,4.089285714285714,short,1.5,75.0,17.5,70.0,875,2026-05-01 18:35:00+00:00,2026-05-01 14:35:00-04:00,2026-05-01,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 13:30:00+00:00,7249.75,2026-05-04 10:00:00-04:00,7256.875,time,6,7259.25,7228.5,4.696428571428571,short,-7.125,-356.25,23.75,-361.25,570,2026-05-04 13:30:00+00:00,2026-05-04 09:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 18:30:00+00:00,7227.375,2026-05-04 15:00:00-04:00,7224.625,time,6,7237.0,7205.75,4.821428571428571,short,2.75,137.5,17.5,132.5,870,2026-05-04 18:30:00+00:00,2026-05-04 14:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,1,1,2026-05-04 19:10:00+00:00,7228.625,2026-05-04 15:40:00-04:00,7229.125,time,6,7217.5,7253.5,5.535714285714286,short,0.5,25.0,17.5,20.0,910,2026-05-04 19:10:00+00:00,2026-05-04 15:10:00-04:00,2026-05-04,LONG,LONG_short
flow_burst,1,1,2026-05-05 13:30:00+00:00,7267.75,2026-05-05 10:00:00-04:00,7274.375,time,6,7257.5,7290.5,5.071428571428571,short,6.625,331.25,23.75,326.25,570,2026-05-05 13:30:00+00:00,2026-05-05 09:30:00-04:00,2026-05-05,LONG,LONG_short
flow_burst,1,1,2026-05-05 18:50:00+00:00,7293.375,2026-05-05 15:20:00-04:00,7298.125,time,6,7288.75,7304.0,2.375,long,4.75,237.5,17.5,232.5,890,2026-05-05 18:50:00+00:00,2026-05-05 14:50:00-04:00,2026-05-05,LONG,LONG_long
flow_burst,1,1,2026-05-05 19:30:00+00:00,7296.625,2026-05-05 15:45:00-04:00,7291.25,stop,3,7291.5,7308.25,2.607142857142857,short,-5.375,-268.75,23.75,-273.75,930,2026-05-05 19:30:00+00:00,2026-05-05 15:30:00-04:00,2026-05-05,LONG,LONG_short
flow_burst,-1,1,2026-05-06 16:55:00+00:00,7357.625,2026-05-06 13:05:00-04:00,7365.125,stop,2,7365.0,7341.0,3.7142857142857144,short,-7.5,-375.0,17.5,-380.0,775,2026-05-06 16:55:00+00:00,2026-05-06 12:55:00-04:00,2026-05-06,SHORT,SHORT_short
flow_burst,1,1,2026-05-06 18:10:00+00:00,7374.625,2026-05-06 14:40:00-04:00,7381.625,time,6,7368.25,7389.25,3.25,short,7.0,350.0,17.5,345.0,850,2026-05-06 18:10:00+00:00,2026-05-06 14:10:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-06 19:05:00+00:00,7383.375,2026-05-06 15:35:00-04:00,7385.875,time,6,7376.75,7398.5,3.375,short,2.5,125.0,17.5,120.0,905,2026-05-06 19:05:00+00:00,2026-05-06 15:05:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-07 19:15:00+00:00,7360.625,2026-05-07 15:45:00-04:00,7360.75,time,6,7344.75,7396.75,8.0,short,0.125,6.25,23.75,1.25,915,2026-05-07 19:15:00+00:00,2026-05-07 15:15:00-04:00,2026-05-07,LONG,LONG_short
flow_burst,-1,1,2026-05-08 18:45:00+00:00,7418.625,2026-05-08 15:15:00-04:00,7414.875,time,6,7426.25,7401.25,3.857142857142857,short,3.75,187.5,17.5,182.5,885,2026-05-08 18:45:00+00:00,2026-05-08 14:45:00-04:00,2026-05-08,SHORT,SHORT_short
flow_burst,-1,1,2026-05-11 18:40:00+00:00,7444.375,2026-05-11 15:00:00-04:00,7429.25,target,4,7451.0,7429.25,3.3392857142857144,short,15.125,756.25,11.25,751.25,880,2026-05-11 18:40:00+00:00,2026-05-11 14:40:00-04:00,2026-05-11,SHORT,SHORT_short
flow_burst,-1,1,2026-05-11 19:00:00+00:00,7431.375,2026-05-11 15:10:00-04:00,7438.125,stop,2,7438.0,7416.25,3.357142857142857,short,-6.75,-337.5,17.5,-342.5,900,2026-05-11 19:00:00+00:00,2026-05-11 15:00:00-04:00,2026-05-11,SHORT,SHORT_short
