strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min,entry_time_utc,entry_time_et,entry_date,side_label,cell
flow_burst,1,1,2026-04-30 17:05:00+00:00,7203.125,2026-04-30 13:45:00-04:00,7218.125,time,8,7192.5,7229.5,5.267857142857143,long,15.0,750.0,17.5,745.0,785,2026-04-30 17:05:00+00:00,2026-04-30 13:05:00-04:00,2026-04-30,LONG,LONG_long
flow_burst,-1,1,2026-04-30 18:50:00+00:00,7240.125,2026-04-30 15:15:00-04:00,7248.125,stop,5,7248.0,7220.75,3.892857142857143,short,-8.0,-400.0,17.5,-405.0,890,2026-04-30 18:50:00+00:00,2026-04-30 14:50:00-04:00,2026-04-30,SHORT,SHORT_short
flow_burst,-1,1,2026-05-01 13:30:00+00:00,7265.0,2026-05-01 09:35:00-04:00,7276.0,stop,1,7275.75,7237.75,5.428571428571429,short,-11.0,-550.0,30.0,-555.0,570,2026-05-01 13:30:00+00:00,2026-05-01 09:30:00-04:00,2026-05-01,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 13:30:00+00:00,7249.75,2026-05-04 10:10:00-04:00,7250.125,time,8,7259.25,7226.25,4.696428571428571,short,-0.375,-18.75,23.75,-23.75,570,2026-05-04 13:30:00+00:00,2026-05-04 09:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,-1,1,2026-05-04 18:30:00+00:00,7227.375,2026-05-04 15:10:00-04:00,7228.625,time,8,7237.0,7203.25,4.821428571428571,short,-1.25,-62.5,17.5,-67.5,870,2026-05-04 18:30:00+00:00,2026-05-04 14:30:00-04:00,2026-05-04,SHORT,SHORT_short
flow_burst,1,1,2026-05-04 19:10:00+00:00,7228.625,2026-05-04 15:50:00-04:00,7225.5,time,8,7217.5,7256.25,5.535714285714286,short,-3.125,-156.25,23.75,-161.25,910,2026-05-04 19:10:00+00:00,2026-05-04 15:10:00-04:00,2026-05-04,LONG,LONG_short
flow_burst,1,1,2026-05-05 13:30:00+00:00,7267.75,2026-05-05 10:10:00-04:00,7281.875,time,8,7257.5,7293.0,5.071428571428571,short,14.125,706.25,23.75,701.25,570,2026-05-05 13:30:00+00:00,2026-05-05 09:30:00-04:00,2026-05-05,LONG,LONG_short
flow_burst,1,1,2026-05-05 18:50:00+00:00,7293.375,2026-05-05 15:30:00-04:00,7296.375,time,8,7288.75,7305.25,2.375,long,3.0,150.0,17.5,145.0,890,2026-05-05 18:50:00+00:00,2026-05-05 14:50:00-04:00,2026-05-05,LONG,LONG_long
flow_burst,-1,1,2026-05-06 16:55:00+00:00,7357.625,2026-05-06 13:05:00-04:00,7365.125,stop,2,7365.0,7339.0,3.7142857142857144,short,-7.5,-375.0,17.5,-380.0,775,2026-05-06 16:55:00+00:00,2026-05-06 12:55:00-04:00,2026-05-06,SHORT,SHORT_short
flow_burst,1,1,2026-05-06 18:10:00+00:00,7374.625,2026-05-06 14:50:00-04:00,7378.125,time,8,7368.25,7391.0,3.25,short,3.5,175.0,17.5,170.0,850,2026-05-06 18:10:00+00:00,2026-05-06 14:10:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-06 19:05:00+00:00,7383.375,2026-05-06 15:45:00-04:00,7386.25,time,8,7376.75,7400.25,3.375,short,2.875,143.75,23.75,138.75,905,2026-05-06 19:05:00+00:00,2026-05-06 15:05:00-04:00,2026-05-06,LONG,LONG_short
flow_burst,1,1,2026-05-07 19:15:00+00:00,7360.625,2026-05-07 15:55:00-04:00,7357.5,time,8,7344.75,7400.75,8.0,short,-3.125,-156.25,23.75,-161.25,915,2026-05-07 19:15:00+00:00,2026-05-07 15:15:00-04:00,2026-05-07,LONG,LONG_short
flow_burst,-1,1,2026-05-08 18:45:00+00:00,7418.625,2026-05-08 15:25:00-04:00,7416.375,time,8,7426.25,7399.25,3.857142857142857,short,2.25,112.5,17.5,107.5,885,2026-05-08 18:45:00+00:00,2026-05-08 14:45:00-04:00,2026-05-08,SHORT,SHORT_short
flow_burst,-1,1,2026-05-11 18:40:00+00:00,7444.375,2026-05-11 15:20:00-04:00,7431.625,time,8,7451.0,7427.75,3.3392857142857144,short,12.75,637.5,17.5,632.5,880,2026-05-11 18:40:00+00:00,2026-05-11 14:40:00-04:00,2026-05-11,SHORT,SHORT_short
