arm,sample,subset,n_sessions,n,win_rate,mean,sum,sharpe,max_dd
full_omen,IS,all,73,174,0.4885057471264368,141.6594827586207,24648.75,5.3752681858706755,-2593.75
full_omen,IS,confirmed,73,6,0.5,239.79166666666666,1438.75,1.9765384473676642,-392.5
full_omen,IS,rejected,73,168,0.4880952380952381,138.1547619047619,23210.0,5.117464275496215,-2593.75
full_omen,OOS,all,72,158,0.4873417721518987,26.289556962025316,4153.75,1.125454732617196,-4642.5
full_omen,OOS,confirmed,72,1,1.0,7.5,7.5,,0.0
full_omen,OOS,rejected,72,157,0.4840764331210191,26.409235668789808,4146.25,1.1234040386146482,-4642.5
full_omen,Combined,all,145,332,0.4879518072289157,86.75451807228916,28802.5,3.45170252271941,-4642.5
full_omen,Combined,confirmed,145,7,0.5714285714285714,206.60714285714286,1446.25,1.4085328088237121,-392.5
full_omen,Combined,rejected,145,325,0.48615384615384616,84.17307692307692,27356.25,3.301248719588325,-4642.5
omen_minus_sl,IS,all,69,131,0.4961832061068702,135.88740458015266,17801.25,4.488312469421347,-2996.25
omen_minus_sl,IS,confirmed,69,6,0.5,239.79166666666666,1438.75,2.033022341659384,-392.5
omen_minus_sl,IS,rejected,69,125,0.496,130.9,16362.5,4.183623376682178,-2996.25
omen_minus_sl,OOS,all,61,110,0.5272727272727272,75.625,8318.75,3.027559535095017,-2703.75
omen_minus_sl,OOS,confirmed,61,1,1.0,7.5,7.5,,0.0
omen_minus_sl,OOS,rejected,61,109,0.5229357798165137,76.25,8311.25,3.024931871688499,-2703.75
omen_minus_sl,Combined,all,130,241,0.5103734439834025,108.38174273858921,26120.0,3.865700499335208,-2996.25
omen_minus_sl,Combined,confirmed,130,7,0.5714285714285714,206.60714285714286,1446.25,1.4875764431870597,-392.5
omen_minus_sl,Combined,rejected,130,234,0.5085470085470085,105.44337606837607,24673.75,3.685887233963809,-2996.25
