sample,strategy,side,side_label,cell,gamma_regime,entry_time,entry_px,exit_time,exit_reason,atr_at_entry,gross_points,net_dollars,dir_buy_vol_30s,dir_sell_vol_30s,median_buy_100,median_sell_100,delta_ratio_long,delta_ratio_short,p2_long,p2_short,p3_long,p3_short,price_at_T,price_at_T_plus_30s,price_move_30s,p4_threshold,p4_long,p4_short,trcb_long,trcb_short,FILTER_EVALUABLE,FILTER_CONFIRMED
OOS,flow_burst,1,LONG,LONG_short,short,2025-09-08 14:20:00-04:00,6500.625,2025-09-08 14:50:00-04:00,time,3.767857142857143,1.75,82.5,328.0,353.0,,,0.9291784702549575,1.076219512195122,False,False,False,False,6500.5,6500.75,0.25,0.9419642857142857,False,False,False,False,False,False
OOS,flow_burst,-1,SHORT,SHORT_long,long,2025-09-08 15:15:00-04:00,6493.125,2025-09-08 15:40:00-04:00,stop,3.7142857142857144,-7.625,-386.25,721.0,789.0,,,0.9138149556400507,1.0943134535367545,False,False,False,False,6493.5,6493.0,-0.5,0.9285714285714286,False,False,False,False,False,False
OOS,flow_burst,1,LONG,LONG_short,short,2025-09-09 09:30:00-04:00,6507.25,2025-09-09 10:00:00-04:00,time,4.196428571428571,0.375,13.75,,,,,,,,,,,6507.0,6507.75,0.75,1.0491071428571428,False,False,False,False,False,False
OOS,flow_burst,-1,SHORT,SHORT_long,long,2025-09-10 09:30:00-04:00,6552.5,2025-09-10 10:00:00-04:00,time,2.5535714285714284,-0.125,-11.25,,,,,,,,,,,6552.5,6546.5,-6.0,0.6383928571428571,False,True,False,False,False,False
OOS,flow_burst,-1,SHORT,SHORT_long,long,2025-09-10 15:30:00-04:00,6524.875,2025-09-10 15:40:00-04:00,stop,4.821428571428571,-9.875,-498.75,663.0,508.0,509.0,533.0,1.3051181102362204,0.7662141779788839,True,False,False,False,6525.0,6526.25,1.25,1.2053571428571428,True,False,False,False,True,False
OOS,flow_burst,1,LONG,LONG_long,long,2025-09-11 14:45:00-04:00,6591.375,2025-09-11 15:15:00-04:00,time,2.875,1.0,45.0,396.0,364.0,535.0,524.5,1.0879120879120878,0.9191919191919192,False,False,False,False,6591.5,6592.0,0.5,0.71875,False,False,False,False,True,False
OOS,flow_burst,1,LONG,LONG_long,long,2025-09-12 14:55:00-04:00,6604.125,2025-09-12 15:10:00-04:00,stop,2.392857142857143,-5.0,-255.0,292.0,163.0,368.0,365.0,1.7914110429447854,0.5582191780821918,False,False,True,False,6604.0,6603.5,-0.5,0.5982142857142857,False,False,False,False,True,False
OOS,flow_burst,-1,SHORT,SHORT_short,short,2025-09-15 09:30:00-04:00,6608.0,2025-09-15 09:50:00-04:00,stop,4.821428571428571,-9.875,-498.75,,,,,,,,,,,6608.25,6612.0,3.75,1.2053571428571428,True,False,False,False,False,False
OOS,flow_burst,-1,SHORT,SHORT_short,short,2025-09-15 14:45:00-04:00,6608.125,2025-09-15 15:15:00-04:00,time,3.25,-4.0,-205.0,303.0,242.0,292.5,292.0,1.2520661157024793,0.7986798679867987,True,False,False,False,6608.25,6609.0,0.75,0.8125,False,False,False,False,True,False
OOS,flow_burst,1,LONG,LONG_long,long,2025-09-15 15:30:00-04:00,6613.375,2025-09-15 15:55:00-04:00,session_close,3.25,0.375,13.75,222.0,469.0,292.5,303.5,0.47334754797441364,2.1126126126126126,False,True,False,True,6613.25,6612.25,-1.0,0.8125,False,True,False,True,True,False
