strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min
flow_burst,-1,1,2025-12-30 13:05:00-05:00,6949.875,2025-12-30 13:30:00-05:00,6954.125,stop,5,6954.0,6943.0,2.7857142857142856,long,-4.25,-212.5,17.5,-217.5,785
flow_burst,-1,1,2025-12-30 13:40:00-05:00,6950.875,2025-12-30 14:10:00-05:00,6951.125,time,6,6954.75,6944.5,2.5357142857142856,long,-0.25,-12.5,17.5,-17.5,820
flow_burst,1,1,2025-12-30 14:15:00-05:00,6953.875,2025-12-30 14:45:00-05:00,6952.625,time,6,6950.25,6960.25,2.5,short,-1.25,-62.5,17.5,-67.5,855
flow_burst,1,1,2025-12-30 15:00:00-05:00,6949.875,2025-12-30 15:10:00-05:00,6946.125,stop,2,6946.25,6955.75,2.375,short,-3.75,-187.5,17.5,-192.5,900
flow_burst,-1,1,2025-12-31 09:30:00-05:00,6943.75,2025-12-31 09:35:00-05:00,6936.25,target,1,6943.75,6936.25,2.9642857142857144,short,7.5,375.0,17.5,370.0,570
flow_burst,-1,1,2025-12-31 13:55:00-05:00,6932.125,2025-12-31 14:20:00-05:00,6925.25,target,5,6932.25,6925.25,2.75,long,6.875,343.75,11.25,338.75,835
flow_burst,-1,1,2026-01-02 09:30:00-05:00,6925.75,2026-01-02 09:45:00-05:00,6925.875,stop,3,6925.75,6910.5,6.125,long,-0.125,-6.25,23.75,-11.25,570
flow_burst,1,1,2026-01-02 14:15:00-05:00,6893.375,2026-01-02 14:45:00-05:00,6904.625,time,6,6893.5,6910.75,6.964285714285714,short,11.25,562.5,17.5,557.5,855
flow_burst,-1,1,2026-01-02 15:25:00-05:00,6902.125,2026-01-02 15:55:00-05:00,6893.75,time,6,6902.25,6887.25,5.910714285714286,short,8.375,418.75,23.75,413.75,925
flow_burst,1,1,2026-01-05 09:30:00-05:00,6934.0,2026-01-05 09:50:00-05:00,6933.875,stop,4,6934.0,6949.0,6.035714285714286,short,-0.125,-6.25,23.75,-11.25,570
flow_burst,-1,1,2026-01-05 12:45:00-05:00,6952.125,2026-01-05 13:15:00-05:00,6952.625,time,6,6957.75,6943.0,3.6785714285714284,short,-0.5,-25.0,17.5,-30.0,765
flow_burst,-1,1,2026-01-05 13:20:00-05:00,6948.375,2026-01-05 13:30:00-05:00,6954.375,stop,2,6954.25,6938.5,3.9107142857142856,short,-6.0,-300.0,17.5,-305.0,800
flow_burst,-1,1,2026-01-05 14:00:00-05:00,6954.375,2026-01-05 14:30:00-05:00,6950.625,time,6,6959.5,6945.75,3.4107142857142856,short,3.75,187.5,17.5,182.5,840
flow_burst,1,1,2026-01-06 09:30:00-05:00,6947.5,2026-01-06 09:40:00-05:00,6947.375,stop,2,6947.5,6956.0,3.4285714285714284,long,-0.125,-6.25,23.75,-11.25,570
flow_burst,-1,1,2026-01-07 12:55:00-05:00,6997.375,2026-01-07 13:15:00-05:00,6989.5,target,4,6997.5,6989.5,3.1964285714285716,long,7.875,393.75,11.25,388.75,775
flow_burst,-1,1,2026-01-07 14:10:00-05:00,6990.125,2026-01-07 14:15:00-05:00,6981.25,target,1,6990.25,6981.25,3.5357142857142856,long,8.875,443.75,11.25,438.75,850
flow_burst,-1,1,2026-01-09 13:45:00-05:00,7010.625,2026-01-09 14:15:00-05:00,7010.625,time,6,7016.0,7001.5,3.6607142857142856,long,-0.0,-0.0,17.5,-5.0,825
flow_burst,-1,1,2026-01-12 09:30:00-05:00,6970.25,2026-01-12 09:30:00-05:00,6975.0,stop,0,6974.75,6962.75,3.0357142857142856,long,-4.75,-237.5,30.0,-242.5,570
flow_burst,1,1,2026-01-12 14:10:00-05:00,7016.375,2026-01-12 14:30:00-05:00,7022.0,target,4,7016.5,7022.0,2.232142857142857,short,5.625,281.25,11.25,276.25,850
flow_burst,-1,1,2026-01-12 15:25:00-05:00,7016.375,2026-01-12 15:45:00-05:00,7020.25,stop,4,7020.0,7010.25,2.482142857142857,short,-3.875,-193.75,23.75,-198.75,925
flow_burst,-1,1,2026-01-13 09:30:00-05:00,7017.0,2026-01-13 09:30:00-05:00,7021.5,stop,0,7021.25,7010.0,2.7857142857142856,short,-4.5,-225.0,30.0,-230.0,570
flow_burst,1,1,2026-01-14 09:30:00-05:00,6970.5,2026-01-14 09:30:00-05:00,6962.5,stop,0,6962.75,6983.25,5.089285714285714,long,-8.0,-400.0,30.0,-405.0,570
flow_burst,-1,1,2026-01-14 12:35:00-05:00,6925.375,2026-01-14 12:45:00-05:00,6936.625,stop,2,6936.5,6907.0,7.357142857142857,short,-11.25,-562.5,17.5,-567.5,755
flow_burst,1,1,2026-01-14 13:55:00-05:00,6940.125,2026-01-14 14:25:00-05:00,6942.875,time,6,6930.0,6956.75,6.696428571428571,short,2.75,137.5,17.5,132.5,835
flow_burst,1,1,2026-01-14 15:05:00-05:00,6946.375,2026-01-14 15:05:00-05:00,6959.0,target,0,6938.75,6959.0,5.017857142857143,short,12.625,631.25,11.25,626.25,905
flow_burst,1,1,2026-01-14 15:10:00-05:00,6954.625,2026-01-14 15:15:00-05:00,6946.125,stop,1,6946.25,6968.5,5.571428571428571,long,-8.5,-425.0,17.5,-430.0,910
flow_burst,1,1,2026-01-15 09:30:00-05:00,7008.75,2026-01-15 09:50:00-05:00,6995.625,stop,4,6995.75,7030.25,8.589285714285714,long,-13.125,-656.25,23.75,-661.25,570
flow_burst,-1,1,2026-01-15 12:30:00-05:00,7007.125,2026-01-15 13:00:00-05:00,7001.875,time,6,7013.5,6996.75,4.178571428571429,long,5.25,262.5,17.5,257.5,750
flow_burst,-1,1,2026-01-15 13:00:00-05:00,7001.625,2026-01-15 13:00:00-05:00,7008.125,stop,0,7008.0,6991.0,4.214285714285714,long,-6.5,-325.0,17.5,-330.0,780
flow_burst,-1,1,2026-01-15 14:05:00-05:00,7004.375,2026-01-15 14:30:00-05:00,6994.75,target,5,7004.5,6994.75,3.892857142857143,long,9.625,481.25,11.25,476.25,845
flow_burst,1,1,2026-01-16 09:30:00-05:00,6995.25,2026-01-16 09:55:00-05:00,6985.875,stop,5,6986.0,7010.75,6.214285714285714,short,-9.375,-468.75,23.75,-473.75,570
flow_burst,1,1,2026-01-16 13:05:00-05:00,6982.875,2026-01-16 13:35:00-05:00,6991.625,time,6,6983.0,6993.75,4.339285714285714,short,8.75,437.5,17.5,432.5,785
flow_burst,1,1,2026-01-16 14:05:00-05:00,6994.875,2026-01-16 14:10:00-05:00,6988.875,stop,1,6989.0,7004.75,3.9285714285714284,long,-6.0,-300.0,17.5,-305.0,845
flow_burst,1,1,2026-01-20 14:40:00-05:00,6837.125,2026-01-20 15:10:00-05:00,6830.875,time,6,6827.25,6853.75,6.660714285714286,long,-6.25,-312.5,17.5,-317.5,880
flow_burst,-1,1,2026-01-20 15:15:00-05:00,6826.875,2026-01-20 15:15:00-05:00,6836.125,stop,0,6836.0,6812.0,6.0,long,-9.25,-462.5,17.5,-467.5,915
flow_burst,1,1,2026-01-21 09:30:00-05:00,6850.0,2026-01-21 09:35:00-05:00,6849.75,stop,1,6850.0,6867.75,7.107142857142857,short,-0.25,-12.5,30.0,-17.5,570
flow_burst,1,1,2026-01-21 14:30:00-05:00,6904.875,2026-01-21 14:40:00-05:00,6932.5,target,2,6905.0,6932.5,11.0,short,27.625,1381.25,11.25,1376.25,870
flow_burst,1,1,2026-01-22 12:35:00-05:00,6965.625,2026-01-22 13:05:00-05:00,6966.875,time,6,6958.75,6977.0,4.571428571428571,short,1.25,62.5,17.5,57.5,755
flow_burst,-1,1,2026-01-22 13:05:00-05:00,6966.875,2026-01-22 13:35:00-05:00,6964.125,time,6,6967.0,6955.25,4.678571428571429,long,2.75,137.5,17.5,132.5,785
flow_burst,1,1,2026-01-22 13:35:00-05:00,6964.125,2026-01-22 13:55:00-05:00,6958.125,stop,4,6958.25,6974.0,3.982142857142857,long,-6.0,-300.0,17.5,-305.0,815
flow_burst,1,1,2026-01-22 14:25:00-05:00,6965.375,2026-01-22 14:35:00-05:00,6959.625,stop,2,6959.75,6974.75,3.767857142857143,long,-5.75,-287.5,17.5,-292.5,865
flow_burst,-1,1,2026-01-22 14:40:00-05:00,6955.875,2026-01-22 14:55:00-05:00,6946.0,target,3,6956.0,6946.0,3.9642857142857144,short,9.875,493.75,11.25,488.75,880
flow_burst,1,1,2026-01-23 09:30:00-05:00,6934.75,2026-01-23 09:35:00-05:00,6926.25,stop,1,6926.5,6948.5,5.535714285714286,short,-8.5,-425.0,30.0,-430.0,570
flow_burst,-1,1,2026-01-23 12:35:00-05:00,6951.125,2026-01-23 12:40:00-05:00,6951.375,stop,1,6951.25,6935.5,6.25,long,-0.25,-12.5,17.5,-17.5,755
