strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min
flow_burst,1,1,2025-09-08 14:20:00-04:00,6500.625,2025-09-08 14:50:00-04:00,6502.375,time,6,6495.0,6510.0,3.767857142857143,short,1.75,87.5,17.5,82.5,860
flow_burst,-1,1,2025-09-08 15:15:00-04:00,6493.125,2025-09-08 15:40:00-04:00,6499.0,stop,5,6498.75,6483.75,3.7142857142857144,long,-5.875,-293.75,23.75,-298.75,915
flow_burst,-1,1,2025-09-10 09:30:00-04:00,6552.5,2025-09-10 09:30:00-04:00,6546.0,target,0,6556.25,6546.0,2.5535714285714284,long,6.5,325.0,17.5,320.0,570
flow_burst,1,1,2025-09-11 13:15:00-04:00,6590.375,2025-09-11 13:45:00-04:00,6591.375,time,6,6586.25,6597.5,2.8214285714285716,long,1.0,50.0,17.5,45.0,795
flow_burst,-1,1,2025-09-11 13:50:00-04:00,6588.375,2025-09-11 14:00:00-04:00,6593.125,stop,2,6593.0,6580.5,3.1607142857142856,long,-4.75,-237.5,17.5,-242.5,830
flow_burst,1,1,2025-09-11 14:45:00-04:00,6591.375,2025-09-11 15:15:00-04:00,6592.375,time,6,6587.0,6598.5,2.875,long,1.0,50.0,17.5,45.0,885
flow_burst,1,1,2025-09-12 12:50:00-04:00,6593.625,2025-09-12 13:20:00-04:00,6594.375,time,6,6589.75,6600.25,2.6607142857142856,long,0.75,37.5,17.5,32.5,770
flow_burst,1,1,2025-09-12 13:25:00-04:00,6596.375,2025-09-12 13:35:00-04:00,6592.875,stop,2,6593.0,6602.0,2.267857142857143,long,-3.5,-175.0,17.5,-180.0,805
flow_burst,1,1,2025-09-12 14:10:00-04:00,6597.625,2025-09-12 14:30:00-04:00,6602.75,target,4,6597.75,6602.75,2.017857142857143,long,5.125,256.25,11.25,251.25,850
flow_burst,-1,1,2025-09-15 09:30:00-04:00,6608.0,2025-09-15 09:40:00-04:00,6615.375,stop,2,6615.25,6596.0,4.821428571428571,short,-7.375,-368.75,23.75,-373.75,570
flow_burst,-1,1,2025-09-15 13:00:00-04:00,6613.625,2025-09-15 13:30:00-04:00,6609.875,time,6,6613.75,6607.25,2.5535714285714284,short,3.75,187.5,17.5,182.5,780
flow_burst,1,1,2025-09-15 13:40:00-04:00,6614.875,2025-09-15 14:05:00-04:00,6614.875,stop,5,6615.0,6622.5,3.017857142857143,long,0.0,0.0,17.5,-5.0,820
flow_burst,-1,1,2025-09-15 14:10:00-04:00,6614.125,2025-09-15 14:40:00-04:00,6611.375,time,6,6618.75,6606.25,3.1607142857142856,long,2.75,137.5,17.5,132.5,850
flow_burst,-1,1,2025-09-15 14:45:00-04:00,6608.125,2025-09-15 14:50:00-04:00,6613.125,stop,1,6613.0,6600.0,3.25,short,-5.0,-250.0,17.5,-255.0,885
flow_burst,1,1,2025-09-15 14:55:00-04:00,6613.625,2025-09-15 15:25:00-04:00,6612.875,time,6,6608.5,6622.0,3.357142857142857,long,-0.75,-37.5,17.5,-42.5,895
flow_burst,1,1,2025-09-16 14:45:00-04:00,6616.375,2025-09-16 15:15:00-04:00,6618.375,time,6,6613.0,6622.0,2.267857142857143,long,2.0,100.0,17.5,95.0,885
flow_burst,-1,1,2025-09-17 09:30:00-04:00,6611.5,2025-09-17 09:30:00-04:00,6616.75,stop,0,6616.5,6603.25,3.3035714285714284,long,-5.25,-262.5,30.0,-267.5,570
flow_burst,-1,1,2025-09-17 14:35:00-04:00,6594.875,2025-09-17 14:45:00-04:00,6564.5,target,2,6595.0,6564.5,12.125,short,30.375,1518.75,11.25,1513.75,875
flow_burst,-1,1,2025-09-17 14:55:00-04:00,6560.375,2025-09-17 14:55:00-04:00,6588.125,stop,0,6588.0,6514.5,18.339285714285715,short,-27.75,-1387.5,17.5,-1392.5,895
flow_burst,1,1,2025-09-17 15:00:00-04:00,6588.875,2025-09-17 15:30:00-04:00,6611.625,time,6,6558.5,6639.75,20.303571428571427,long,22.75,1137.5,17.5,1132.5,900
flow_burst,1,1,2025-09-18 14:50:00-04:00,6641.125,2025-09-18 15:20:00-04:00,6641.875,time,6,6634.75,6651.75,4.25,short,0.75,37.5,17.5,32.5,890
flow_burst,-1,1,2025-09-18 15:25:00-04:00,6638.625,2025-09-18 15:50:00-04:00,6639.0,stop,5,6638.75,6629.25,3.7142857142857144,short,-0.375,-18.75,23.75,-23.75,925
flow_burst,-1,1,2025-09-22 09:30:00-04:00,6705.75,2025-09-22 09:45:00-04:00,6712.375,stop,3,6712.25,6695.0,4.285714285714286,long,-6.625,-331.25,23.75,-336.25,570
flow_burst,-1,1,2025-09-22 13:55:00-04:00,6748.625,2025-09-22 14:15:00-04:00,6748.875,stop,4,6748.75,6742.25,2.5714285714285716,long,-0.25,-12.5,17.5,-17.5,835
flow_burst,1,1,2025-09-22 14:40:00-04:00,6752.125,2025-09-22 15:10:00-04:00,6753.625,time,6,6748.5,6758.25,2.4464285714285716,long,1.5,75.0,17.5,70.0,880
flow_burst,-1,1,2025-09-22 15:20:00-04:00,6754.875,2025-09-22 15:40:00-04:00,6755.25,stop,4,6755.0,6749.5,2.1607142857142856,short,-0.375,-18.75,23.75,-23.75,920
flow_burst,-1,1,2025-09-23 12:55:00-04:00,6737.125,2025-09-23 13:20:00-04:00,6727.75,target,5,6737.25,6727.75,3.767857142857143,long,9.375,468.75,11.25,463.75,775
flow_burst,-1,1,2025-09-23 13:30:00-04:00,6718.125,2025-09-23 13:40:00-04:00,6706.5,target,2,6718.25,6706.5,4.678571428571429,short,11.625,581.25,11.25,576.25,810
flow_burst,1,1,2025-09-23 13:50:00-04:00,6714.875,2025-09-23 14:15:00-04:00,6705.875,stop,5,6706.0,6729.5,5.839285714285714,long,-9.0,-450.0,17.5,-455.0,830
flow_burst,1,1,2025-09-23 14:25:00-04:00,6706.375,2025-09-23 14:55:00-04:00,6705.375,time,6,6697.25,6721.5,6.017857142857143,long,-1.0,-50.0,17.5,-55.0,865
flow_burst,1,1,2025-09-23 15:20:00-04:00,6709.875,2025-09-23 15:50:00-04:00,6711.5,time,6,6703.25,6721.0,4.464285714285714,short,1.625,81.25,23.75,76.25,920
flow_burst,1,1,2025-09-24 13:10:00-04:00,6693.625,2025-09-24 13:40:00-04:00,6692.625,time,6,6686.5,6705.5,4.767857142857143,long,-1.0,-50.0,17.5,-55.0,790
flow_burst,-1,1,2025-09-24 13:40:00-04:00,6692.625,2025-09-24 14:10:00-04:00,6685.125,time,6,6692.75,6682.75,3.9285714285714284,short,7.5,375.0,17.5,370.0,820
flow_burst,1,1,2025-09-24 14:55:00-04:00,6692.375,2025-09-24 15:25:00-04:00,6689.375,time,6,6686.5,6702.5,4.0,long,-3.0,-150.0,17.5,-155.0,895
flow_burst,-1,1,2025-09-25 09:30:00-04:00,6659.75,2025-09-25 09:35:00-04:00,6650.5,target,1,6659.75,6650.5,3.6964285714285716,short,9.25,462.5,17.5,457.5,570
flow_burst,-1,1,2025-09-25 13:25:00-04:00,6647.125,2025-09-25 13:55:00-04:00,6644.375,time,6,6656.75,6631.25,6.357142857142857,short,2.75,137.5,17.5,132.5,805
flow_burst,1,1,2025-09-25 14:10:00-04:00,6633.125,2025-09-25 14:25:00-04:00,6651.75,target,3,6633.25,6651.75,7.428571428571429,long,18.625,931.25,11.25,926.25,850
flow_burst,1,1,2025-09-25 14:45:00-04:00,6659.125,2025-09-25 15:15:00-04:00,6656.625,time,6,6648.75,6676.75,7.0,short,-2.5,-125.0,17.5,-130.0,885
flow_burst,-1,1,2025-09-26 13:50:00-04:00,6691.375,2025-09-26 14:20:00-04:00,6693.625,time,6,6697.25,6681.75,3.875,short,-2.25,-112.5,17.5,-117.5,830
flow_burst,-1,1,2025-09-26 15:10:00-04:00,6694.125,2025-09-26 15:40:00-04:00,6695.125,time,6,6700.0,6684.5,3.892857142857143,short,-1.0,-50.0,17.5,-55.0,910
flow_burst,-1,1,2025-09-29 13:05:00-04:00,6703.375,2025-09-29 13:35:00-04:00,6701.875,time,6,6710.0,6692.5,4.375,short,1.5,75.0,17.5,70.0,785
flow_burst,1,1,2025-09-29 13:55:00-04:00,6708.625,2025-09-29 14:25:00-04:00,6712.375,time,6,6703.5,6717.25,3.482142857142857,long,3.75,187.5,17.5,182.5,835
flow_burst,-1,1,2025-09-29 14:40:00-04:00,6710.375,2025-09-29 15:05:00-04:00,6703.25,target,5,6710.5,6703.25,2.875,long,7.125,356.25,11.25,351.25,880
flow_burst,-1,1,2025-09-29 15:10:00-04:00,6704.625,2025-09-29 15:15:00-04:00,6697.25,target,1,6704.75,6697.25,2.9464285714285716,short,7.375,368.75,11.25,363.75,910
flow_burst,1,1,2025-09-30 09:30:00-04:00,6707.5,2025-09-30 09:35:00-04:00,6700.5,stop,1,6700.75,6718.75,4.5,long,-7.0,-350.0,30.0,-355.0,570
flow_burst,1,1,2025-09-30 15:25:00-04:00,6729.125,2025-09-30 15:45:00-04:00,6729.0,stop,4,6729.25,6738.75,3.857142857142857,short,-0.125,-6.25,23.75,-11.25,925
flow_burst,1,1,2025-10-01 13:00:00-04:00,6744.375,2025-10-01 13:15:00-04:00,6751.5,target,3,6744.5,6751.5,2.892857142857143,short,7.125,356.25,11.25,351.25,780
flow_burst,1,1,2025-10-01 14:05:00-04:00,6757.875,2025-10-01 14:35:00-04:00,6764.625,time,6,6758.0,6766.5,3.4642857142857144,long,6.75,337.5,17.5,332.5,845
flow_burst,-1,1,2025-10-02 09:30:00-04:00,6778.0,2025-10-02 09:35:00-04:00,6778.25,stop,1,6778.0,6769.5,3.357142857142857,long,-0.25,-12.5,30.0,-17.5,570
flow_burst,1,1,2025-10-02 13:25:00-04:00,6759.625,2025-10-02 13:55:00-04:00,6762.375,time,6,6754.0,6768.75,3.6785714285714284,long,2.75,137.5,17.5,132.5,805
flow_burst,1,1,2025-10-02 14:25:00-04:00,6770.125,2025-10-02 14:55:00-04:00,6768.875,time,6,6765.75,6777.25,2.8392857142857144,short,-1.25,-62.5,17.5,-67.5,865
flow_burst,-1,1,2025-10-03 09:30:00-04:00,6771.75,2025-10-03 09:30:00-04:00,6776.25,stop,0,6776.0,6764.5,2.9107142857142856,long,-4.5,-225.0,30.0,-230.0,570
