date,vix_close
2025-09-08,15.11
2025-09-09,15.04
2025-09-10,15.35
2025-09-11,14.71
2025-09-12,14.76
2025-09-15,15.69
2025-09-16,16.36
2025-09-17,15.72
2025-09-18,15.7
2025-09-19,15.45
2025-09-22,16.1
2025-09-23,16.64
2025-09-24,16.18
2025-09-25,16.74
2025-09-26,15.29
2025-09-29,16.12
2025-09-30,16.28
2025-10-01,16.29
2025-10-02,16.63
2025-10-03,16.65
2025-10-06,16.37
2025-10-07,17.24
2025-10-08,16.3
2025-10-09,16.43
2025-10-10,21.66
2025-10-13,19.03
2025-10-14,20.81
2025-10-15,20.64
2025-10-16,25.31
2025-10-17,20.78
2025-10-20,18.23
2025-10-21,17.87
2025-10-22,18.6
2025-10-23,17.3
2025-10-24,16.37
2025-10-27,15.79
2025-10-28,16.42
2025-10-29,16.92
2025-10-30,16.91
2025-10-31,17.44
2025-11-03,17.17
2025-11-04,19.0
2025-11-05,18.01
2025-11-06,19.5
2025-11-07,19.08
2025-11-10,17.6
2025-11-11,17.28
2025-11-12,17.51
2025-11-13,20.0
2025-11-14,19.83
2025-11-17,22.38
2025-11-18,24.69
2025-11-19,23.66
2025-11-20,26.42
2025-11-21,23.43
2025-11-24,20.52
2025-11-25,18.56
2025-11-26,17.19
2025-11-27,17.21
2025-11-28,16.35
2025-12-01,17.24
2025-12-02,16.59
2025-12-03,16.08
2025-12-04,15.78
2025-12-05,15.41
2025-12-08,16.66
2025-12-09,16.93
2025-12-10,15.77
2025-12-11,14.85
2025-12-12,15.74
2025-12-15,16.5
2025-12-16,16.48
2025-12-17,17.62
2025-12-18,16.87
2025-12-19,14.91
2025-12-22,14.08
2025-12-23,14.0
2025-12-24,13.47
2025-12-26,13.6
2025-12-29,14.2
2025-12-30,14.33
2025-12-31,14.95
2026-01-02,14.51
2026-01-05,14.9
2026-01-06,14.75
2026-01-07,15.38
2026-01-08,15.45
2026-01-09,14.49
2026-01-12,15.12
2026-01-13,15.98
2026-01-14,16.75
2026-01-15,15.84
2026-01-16,15.86
2026-01-19,18.84
2026-01-20,20.09
2026-01-21,16.9
2026-01-22,15.64
2026-01-23,16.09
2026-01-26,16.15
2026-01-27,16.35
2026-01-28,16.35
2026-01-29,16.88
2026-01-30,17.44
2026-02-02,16.34
2026-02-03,18.0
2026-02-04,18.64
2026-02-05,21.77
2026-02-06,17.76
2026-02-09,17.36
2026-02-10,17.79
2026-02-11,17.65
2026-02-12,20.82
2026-02-13,20.6
2026-02-16,21.2
2026-02-17,20.29
2026-02-18,19.62
2026-02-19,20.23
2026-02-20,19.09
2026-02-23,21.01
2026-02-24,19.55
2026-02-25,17.93
2026-02-26,18.63
2026-02-27,19.86
2026-03-02,21.44
2026-03-03,23.57
2026-03-04,21.15
2026-03-05,23.75
2026-03-06,29.49
2026-03-09,25.5
2026-03-10,24.93
2026-03-11,24.23
2026-03-12,27.29
2026-03-13,27.19
2026-03-16,23.51
2026-03-17,22.37
2026-03-18,25.09
2026-03-19,24.06
2026-03-20,26.78
2026-03-23,26.15
2026-03-24,26.95
2026-03-25,25.33
2026-03-26,27.44
2026-03-27,31.05
2026-03-30,30.61
2026-03-31,25.25
2026-04-01,24.54
2026-04-02,23.87
2026-04-06,24.17
2026-04-07,25.78
2026-04-08,21.04
2026-04-09,19.49
2026-04-10,19.23
2026-04-13,19.12
2026-04-14,18.36
2026-04-15,18.17
2026-04-16,17.94
2026-04-17,17.48
2026-04-20,18.87
2026-04-21,19.5
2026-04-22,18.92
2026-04-23,19.31
2026-04-24,18.71
2026-04-27,18.02
2026-04-28,17.83
2026-04-29,18.81
2026-04-30,16.89
2026-05-01,16.99
2026-05-04,18.29
2026-05-05,17.38
2026-05-06,17.39
2026-05-07,17.08
2026-05-08,17.19
2026-05-11,18.38
2026-05-12,17.99
2026-05-13,17.87
