ts_event,es_open,es_high,es_low,es_close,es_volume,cl_open,cl_high,cl_low,cl_close,cl_volume
2025-01-02 00:00:00+00:00,5939.25,5939.5,5927.5,5927.5,2222,72.06,72.08,71.98,71.98,129
2025-01-02 00:05:00+00:00,5927.5,5932.25,5927.0,5931.25,1780,71.98,72.07,71.96,72.07,118
2025-01-02 00:10:00+00:00,5931.25,5931.25,5925.5,5928.0,1309,72.07,72.08,71.99,72.03,129
2025-01-02 00:15:00+00:00,5928.0,5929.5,5910.75,5915.5,5191,72.02,72.07,72.01,72.02,106
2025-01-02 00:20:00+00:00,5915.75,5917.5,5914.0,5917.5,1217,72.01,72.05,72.01,72.05,67
2025-01-02 00:25:00+00:00,5917.5,5919.25,5914.5,5916.75,1060,72.04,72.05,71.99,71.99,64
2025-01-02 00:30:00+00:00,5916.5,5922.5,5914.25,5922.0,1359,71.99,71.99,71.96,71.99,96
2025-01-02 00:35:00+00:00,5921.75,5926.0,5918.75,5925.0,1562,72.0,72.0,71.97,71.97,47
2025-01-02 00:40:00+00:00,5925.0,5932.25,5924.25,5932.0,1588,71.98,72.0,71.97,72.0,36
2025-01-02 00:45:00+00:00,5932.25,5936.5,5931.5,5935.0,1827,72.0,72.05,71.99,72.03,108
2025-01-02 00:50:00+00:00,5934.75,5937.0,5933.25,5936.0,1050,72.03,72.06,72.02,72.05,33
2025-01-02 00:55:00+00:00,5935.75,5938.0,5933.25,5934.75,768,72.05,72.08,72.04,72.07,57
2025-01-02 01:00:00+00:00,5934.75,5943.25,5934.75,5940.25,2507,72.07,72.24,72.02,72.19,1261
2025-01-02 01:05:00+00:00,5940.5,5944.0,5939.0,5939.75,1273,72.18,72.22,72.15,72.18,428
2025-01-02 01:10:00+00:00,5939.75,5942.75,5939.5,5942.5,565,72.19,72.19,72.1,72.14,155
2025-01-02 01:15:00+00:00,5942.5,5944.75,5941.0,5941.0,994,72.14,72.19,72.14,72.16,112
