ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2026-02-16 14:15:00.030707765+00:00,2026-02-16 14:15:00.030384149+00:00,0,1,42140878,T,A,0,6862.75,2,0,15349,1468368,ES.v.0
2026-02-16 14:15:00.033871624+00:00,2026-02-16 14:15:00.033523939+00:00,0,1,42140878,T,A,0,6862.5,6,0,12775,1468393,ES.v.0
2026-02-16 14:15:00.034056511+00:00,2026-02-16 14:15:00.033820663+00:00,0,1,42140878,T,A,0,6862.5,1,0,12483,1468395,ES.v.0
2026-02-16 14:15:00.034119330+00:00,2026-02-16 14:15:00.033857373+00:00,0,1,42140878,T,A,0,6862.5,2,0,11925,1468397,ES.v.0
2026-02-16 14:15:00.380154043+00:00,2026-02-16 14:15:00.379850457+00:00,0,1,42140878,T,B,0,6863.0,2,0,12897,1468526,ES.v.0
2026-02-16 14:15:00.383072752+00:00,2026-02-16 14:15:00.382844257+00:00,0,1,42140878,T,A,0,6863.0,1,0,12599,1468544,ES.v.0
2026-02-16 14:15:00.520534679+00:00,2026-02-16 14:15:00.520286179+00:00,0,1,42140878,T,A,0,6862.75,1,0,12757,1468588,ES.v.0
2026-02-16 14:15:00.567630453+00:00,2026-02-16 14:15:00.567379099+00:00,0,1,42140878,T,A,0,6862.5,1,0,13269,1468598,ES.v.0
2026-02-16 14:15:00.645353565+00:00,2026-02-16 14:15:00.645094115+00:00,0,1,42140878,T,B,0,6862.75,1,0,12718,1468635,ES.v.0
2026-02-16 14:15:00.959580632+00:00,2026-02-16 14:15:00.959299905+00:00,0,1,42140878,T,A,0,6862.5,2,0,13342,1468656,ES.v.0
2026-02-16 14:15:01.216828006+00:00,2026-02-16 14:15:01.216569713+00:00,0,1,42140878,T,A,0,6862.5,1,0,13600,1468723,ES.v.0
2026-02-16 14:15:01.897332655+00:00,2026-02-16 14:15:01.896843765+00:00,0,1,42140878,T,A,0,6862.25,7,0,13808,1468870,ES.v.0
2026-02-16 14:15:01.897332655+00:00,2026-02-16 14:15:01.896843765+00:00,0,1,42140878,T,A,0,6862.0,7,0,13808,1468870,ES.v.0
2026-02-16 14:15:01.898035088+00:00,2026-02-16 14:15:01.897369599+00:00,0,1,42140878,T,B,0,6862.25,1,0,12755,1468887,ES.v.0
2026-02-16 14:15:01.898093818+00:00,2026-02-16 14:15:01.897370475+00:00,0,1,42140878,T,B,0,6862.25,1,0,13701,1468888,ES.v.0
2026-02-16 14:15:02.003088389+00:00,2026-02-16 14:15:02.002849621+00:00,0,1,42140878,T,A,0,6862.25,1,0,12907,1468947,ES.v.0
2026-02-16 14:15:02.015613392+00:00,2026-02-16 14:15:02.015351403+00:00,0,1,42140878,T,B,0,6862.25,1,0,13089,1468978,ES.v.0
2026-02-16 14:15:02.574923328+00:00,2026-02-16 14:15:02.574679139+00:00,0,1,42140878,T,A,0,6862.0,2,0,12556,1469040,ES.v.0
2026-02-16 14:15:02.574984592+00:00,2026-02-16 14:15:02.574686781+00:00,0,1,42140878,T,A,0,6862.0,4,0,12126,1469041,ES.v.0
2026-02-16 14:15:02.575078360+00:00,2026-02-16 14:15:02.574690257+00:00,0,1,42140878,T,A,0,6862.0,4,0,13654,1469042,ES.v.0
2026-02-16 14:15:02.575078360+00:00,2026-02-16 14:15:02.574691867+00:00,0,1,42140878,T,A,0,6862.0,2,0,13654,1469042,ES.v.0
2026-02-16 14:15:02.575118417+00:00,2026-02-16 14:15:02.574693481+00:00,0,1,42140878,T,A,0,6862.0,2,0,13050,1469043,ES.v.0
2026-02-16 14:15:02.575171667+00:00,2026-02-16 14:15:02.574926809+00:00,0,1,42140878,T,A,0,6862.0,2,0,13102,1469044,ES.v.0
2026-02-16 14:15:02.576301163+00:00,2026-02-16 14:15:02.576055009+00:00,0,1,42140878,T,B,0,6862.0,2,0,13012,1469070,ES.v.0
2026-02-16 14:15:02.732016352+00:00,2026-02-16 14:15:02.731756847+00:00,0,1,42140878,T,B,0,6862.25,1,0,12822,1469100,ES.v.0
