,instrument_id,ts_event,rtype,publisher_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol_x,expiration,strike_price,contract_multiplier,symbol_y,underlying_id,cfi,underlying_price,open_interest,mid_price,T,option_type,implied_vol,gamma,delta
0,42347631,2026-02-27 14:14:59.749595671+00:00,1,1,M,A,0,18.3,21,128,19959,1297850288,17.9,18.3,67,106,5,8,42347631,2026-03-20 13:30:00+00:00,6250.0,50,ESH6 P6250,42140878,OPAFPS,6862.375,11,18.1,0.05560562323091743,put,0.2919990619121914,0.0003198038381359964,-0.08180293734476457
1,42360127,2026-02-27 14:14:52.828899495+00:00,1,1,M,A,0,634.0,10,128,14873,1297810883,626.0,634.0,10,10,1,1,42360127,2026-03-20 13:30:00+00:00,6250.0,50,ESH6 C6250,42140878,OCAFPS,6862.375,624,630.0,0.05560562323091743,call,0.2951719995581965,0.00032265706196974857,0.9139718809406047
2,42383331,2026-02-27 14:14:59.692251933+00:00,1,1,M,B,0,58.5,17,128,14204,1297849938,58.5,59.25,87,74,8,8,42383331,2026-03-20 13:30:00+00:00,6650.0,50,ESH6 P6650,42140878,OPAFPS,6862.375,39,58.875,0.05560562323091743,put,0.22088311913750697,0.0009135764560727972,-0.2639357949213911
3,42397940,2026-02-27 14:14:59.637552735+00:00,1,1,M,A,0,24.25,35,128,14470,1297849299,23.5,24.25,272,218,10,10,42397940,2026-03-20 13:30:00+00:00,6350.0,50,ESH6 P6350,42140878,OPAFPS,6862.375,15,23.875,0.05560562323091743,put,0.27417672046540903,0.0004198191979174041,-0.108646614322639
4,42402262,2026-02-27 14:14:52.822054039+00:00,1,1,M,A,0,539.5,11,128,13695,1297810843,532.0,539.5,11,11,1,1,42402262,2026-03-20 13:30:00+00:00,6350.0,50,ESH6 C6350,42140878,OCAFPS,6862.375,530,535.75,0.05560562323091743,call,0.2760029617951786,0.0004210192987428083,0.8878521080390681
5,42419523,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,445.0,1,128,14889,1297846241,442.5,445.0,6,6,1,1,42419523,2026-03-20 13:30:00+00:00,6450.0,50,ESH6 C6450,42140878,OCAFPS,6862.375,436,443.75,0.05560562323091743,call,0.2573461152761279,0.0005499677487317058,0.851750675055744
6,42420430,2026-02-27 14:14:59.446600453+00:00,1,1,M,B,0,353.5,3,128,16621,1297846830,354.0,356.5,6,6,1,1,42420430,2026-03-20 13:30:00+00:00,6550.0,50,ESH6 C6550,42140878,OCAFPS,6862.375,348,355.25,0.05560562323091743,call,0.23965071548973346,0.0007137252364701458,0.8014259529239126
7,42421497,2026-02-27 14:14:57.993284155+00:00,1,1,A,B,0,31.75,1,128,14991,1297841077,31.75,32.25,149,1,8,1,42421497,2026-03-20 13:30:00+00:00,6450.0,50,ESH6 P6450,42140878,OPAFPS,6862.375,20,32.0,0.05560562323091743,put,0.25674488923962796,0.000549910559181699,-0.14566320202536573
8,42422428,2026-02-27 14:14:59.653132811+00:00,1,1,M,B,0,120.0,20,128,13894,1297849607,120.0,121.5,116,65,11,9,42422428,2026-03-20 13:30:00+00:00,6850.0,50,ESH6 C6850,42140878,OCAFPS,6862.375,117,120.75,0.05560562323091743,call,0.17785334650288379,0.0013804830616234692,0.5244374163626593
9,42426734,2026-02-27 14:14:53.075137525+00:00,1,1,A,A,0,0.5,25,128,14530,1297814600,0.3,0.5,492,509,7,9,42426734,2026-03-20 13:30:00+00:00,7400.0,50,ESH6 C7400,42140878,OCAFPS,6862.375,0,0.4,0.05560562323091743,call,0.12689932608431004,8.398846453230213e-05,0.006098890362069417
