strategy,side,contracts,entry_time,entry_px,exit_time,exit_px,exit_reason,bars_held,stop_px,target_px,atr_at_entry,gamma_regime,gross_points,gross_dollars,cost_dollars,net_dollars,hour_min
flow_burst,1,1,2025-09-08 14:20:00-04:00,6500.625,2025-09-08 14:45:00-04:00,6500.875,time,5,6493.0,6517.5,3.767857142857143,short,0.25,12.5,17.5,7.5,860
flow_burst,-1,1,2025-09-08 15:15:00-04:00,6493.125,2025-09-08 15:40:00-04:00,6496.375,time,5,6500.5,6476.5,3.7142857142857144,long,-3.25,-162.5,17.5,-167.5,915
flow_burst,1,1,2025-09-09 09:30:00-04:00,6507.25,2025-09-09 09:55:00-04:00,6503.625,time,5,6498.75,6526.25,4.196428571428571,short,-3.625,-181.25,23.75,-186.25,570
flow_burst,-1,1,2025-09-10 09:30:00-04:00,6552.5,2025-09-10 09:55:00-04:00,6548.125,time,5,6557.5,6541.0,2.5535714285714284,long,4.375,218.75,23.75,213.75,570
flow_burst,-1,1,2025-09-10 15:30:00-04:00,6524.875,2025-09-10 15:40:00-04:00,6534.75,stop,2,6534.5,6503.25,4.821428571428571,long,-9.875,-493.75,23.75,-498.75,930
flow_burst,1,1,2025-09-11 13:15:00-04:00,6590.375,2025-09-11 13:40:00-04:00,6589.625,time,5,6584.75,6603.0,2.8214285714285716,long,-0.75,-37.5,17.5,-42.5,795
flow_burst,-1,1,2025-09-11 13:50:00-04:00,6588.375,2025-09-11 14:15:00-04:00,6590.625,time,5,6594.75,6574.25,3.1607142857142856,long,-2.25,-112.5,17.5,-117.5,830
flow_burst,1,1,2025-09-11 14:45:00-04:00,6591.375,2025-09-11 15:10:00-04:00,6590.875,time,5,6585.75,6604.25,2.875,long,-0.5,-25.0,17.5,-30.0,885
flow_burst,1,1,2025-09-12 12:50:00-04:00,6593.625,2025-09-12 13:15:00-04:00,6594.625,time,5,6588.25,6605.5,2.6607142857142856,long,1.0,50.0,17.5,45.0,770
flow_burst,1,1,2025-09-12 13:25:00-04:00,6596.375,2025-09-12 13:50:00-04:00,6596.625,time,5,6591.75,6606.5,2.267857142857143,long,0.25,12.5,17.5,7.5,805
flow_burst,1,1,2025-09-12 14:10:00-04:00,6597.625,2025-09-12 14:35:00-04:00,6600.875,time,5,6593.5,6606.75,2.017857142857143,long,3.25,162.5,17.5,157.5,850
flow_burst,1,1,2025-09-12 14:55:00-04:00,6604.125,2025-09-12 15:10:00-04:00,6599.125,stop,3,6599.25,6615.0,2.392857142857143,long,-5.0,-250.0,17.5,-255.0,895
flow_burst,-1,1,2025-09-15 09:30:00-04:00,6608.0,2025-09-15 09:50:00-04:00,6617.875,stop,4,6617.75,6586.25,4.821428571428571,short,-9.875,-493.75,23.75,-498.75,570
flow_burst,-1,1,2025-09-15 13:00:00-04:00,6613.625,2025-09-15 13:25:00-04:00,6611.875,time,5,6618.75,6602.25,2.5535714285714284,short,1.75,87.5,17.5,82.5,780
flow_burst,1,1,2025-09-15 13:40:00-04:00,6614.875,2025-09-15 14:05:00-04:00,6617.875,time,5,6608.75,6628.5,3.017857142857143,long,3.0,150.0,17.5,145.0,820
flow_burst,-1,1,2025-09-15 14:10:00-04:00,6614.125,2025-09-15 14:35:00-04:00,6613.125,time,5,6620.5,6600.0,3.1607142857142856,long,1.0,50.0,17.5,45.0,850
flow_burst,-1,1,2025-09-15 14:45:00-04:00,6608.125,2025-09-15 15:10:00-04:00,6612.125,time,5,6614.75,6593.5,3.25,short,-4.0,-200.0,17.5,-205.0,885
flow_burst,1,1,2025-09-15 15:30:00-04:00,6613.375,2025-09-15 15:55:00-04:00,6613.75,time,5,6607.0,6628.0,3.25,long,0.375,18.75,23.75,13.75,930
flow_burst,-1,1,2025-09-16 13:45:00-04:00,6612.875,2025-09-16 14:10:00-04:00,6614.875,time,5,6618.25,6601.0,2.6607142857142856,short,-2.0,-100.0,17.5,-105.0,825
flow_burst,1,1,2025-09-16 14:45:00-04:00,6616.375,2025-09-16 15:10:00-04:00,6617.625,time,5,6611.75,6626.5,2.267857142857143,long,1.25,62.5,17.5,57.5,885
flow_burst,-1,1,2025-09-16 15:30:00-04:00,6613.625,2025-09-16 15:45:00-04:00,6618.25,stop,3,6618.0,6603.75,2.1964285714285716,short,-4.625,-231.25,23.75,-236.25,930
