bar_close_utc,bar_close_et,session_date,dir_buy_vol_60s,dir_sell_vol_60s,n_trades_60s,median_buy_100,median_sell_100,delta_ratio_long,delta_ratio_short,price_at_T,price_at_T_plus_60,price_move_60s,atr_at_T,p4_threshold,p2_long,p2_short,p3_long,p3_short,p4_long,p4_short,trcb_long,trcb_short,fwd_ret_25min_raw,fwd_ret_25min_signed,day_side_disagree_rate
2025-09-08 13:35:00+00:00,2025-09-08 09:35:00-04:00,2025-09-08,2823,2673,1660,,,1.0561167227833894,0.946865037194474,6505.25,6506.5,1.25,,,False,False,False,False,False,False,False,False,-3.75,,0.0
2025-09-08 13:40:00+00:00,2025-09-08 09:40:00-04:00,2025-09-08,3782,3029,1987,,,1.2485968966655663,0.8008989952406135,6500.25,6503.0,2.75,,,False,False,False,False,False,False,False,False,0.5,,0.0
2025-09-08 13:45:00+00:00,2025-09-08 09:45:00-04:00,2025-09-08,2737,3038,1915,,,0.9009216589861752,1.1099744245524297,6504.25,6502.5,-1.75,,,False,False,False,False,False,False,False,False,-1.75,,0.0
2025-09-08 13:50:00+00:00,2025-09-08 09:50:00-04:00,2025-09-08,1833,2108,1433,,,0.8695445920303605,1.150027277686852,6504.25,6501.0,-3.25,,,False,False,False,False,False,False,False,False,-4.25,,0.0
2025-09-08 13:55:00+00:00,2025-09-08 09:55:00-04:00,2025-09-08,1981,1505,1176,,,1.3162790697674418,0.7597173144876325,6506.0,6507.75,1.75,,,False,False,False,False,False,False,False,False,-9.25,,0.0
2025-09-08 14:00:00+00:00,2025-09-08 10:00:00-04:00,2025-09-08,2355,2529,1708,,,0.9311981020166074,1.0738853503184713,6501.5,6500.25,-1.25,,,False,False,False,False,False,False,False,False,-3.25,,0.0
2025-09-08 14:05:00+00:00,2025-09-08 10:05:00-04:00,2025-09-08,1505,1745,1070,,,0.8624641833810889,1.159468438538206,6500.75,6501.25,0.5,,,False,False,False,False,False,False,False,False,5.0,,0.0
2025-09-08 14:10:00+00:00,2025-09-08 10:10:00-04:00,2025-09-08,1093,1055,736,,,1.0360189573459715,0.9652333028362305,6502.5,6502.0,-0.5,,,False,False,False,False,False,False,False,False,3.75,,0.0
2025-09-08 14:15:00+00:00,2025-09-08 10:15:00-04:00,2025-09-08,1260,1347,779,,,0.9354120267260579,1.069047619047619,6500.0,6500.75,0.75,,,False,False,False,False,False,False,False,False,9.25,,0.0
2025-09-08 14:20:00+00:00,2025-09-08 10:20:00-04:00,2025-09-08,1371,1270,893,,,1.079527559055118,0.9263311451495259,6496.75,6497.0,0.25,,,False,False,False,False,False,False,False,False,14.5,,0.0
2025-09-08 14:25:00+00:00,2025-09-08 10:25:00-04:00,2025-09-08,1599,1283,900,,,1.2462977396726422,0.8023764853033146,6498.25,6498.25,0.0,,,False,False,False,False,False,False,False,False,13.5,,0.0
2025-09-08 14:30:00+00:00,2025-09-08 10:30:00-04:00,2025-09-08,3501,2765,1509,,,1.2661844484629294,0.7897743501856612,6505.75,6508.0,2.25,4.2456632044483795,1.0614158011120949,False,False,False,False,True,False,False,False,7.25,,0.0
2025-09-08 14:35:00+00:00,2025-09-08 10:35:00-04:00,2025-09-08,988,1084,589,,,0.9114391143911439,1.097165991902834,6506.25,6506.75,0.5,4.317401546987782,1.0793503867469454,False,False,False,False,False,False,False,False,5.5,,0.0
